Customer Number,Age,Marital Status, Annual Income ($) , Mortgage Amount ($) , Payments Per Year , Total Amount Paid ($) ,Default on Mortgage?
1,37,SINGLE,172125.7,473402.96,24,581885.13,YES
2,31,SINGLE,108571.04,300468.6,12,489320.38,NO
3,37,MARRIED,124136.41,330664.24,24,493541.93,YES
4,24,MARRIED,79614.04,230222.94,24,449682.09,YES
5,27,SINGLE,68087.33,282203.53,12,520581.82,NO
6,30,MARRIED,59959.8,251242.7,24,356711.58,YES
7,41,SINGLE,99394.05,282737.29,12,524053.46,NO
8,29,SINGLE,38527.35,238125.19,12,468595.99,NO
9,31,MARRIED,112078.62,297133.24,24,399617.4,YES
10,36,SINGLE,224899.71,622578.74,12,1233002.14,NO
11,31,MARRIED,27945.36,215440.31,24,285900.1,YES
12,40,SINGLE,48929.74,252885.1,12,336574.63,NO
13,39,MARRIED,82810.92,183045.16,12,262537.23,NO
14,31,SINGLE,68216.88,165309.34,12,253633.17,NO
15,40,SINGLE,59141.13,220176.18,12,424749.8,NO
16,45,MARRIED,72568.89,233146.91,12,356363.93,NO
17,32,MARRIED,101140.43,245360.02,24,388429.41,YES
18,37,MARRIED,124876.53,320401.04,4,360783.45,YES
19,32,MARRIED,133093.15,494395.63,12,861874.67,NO
20,32,SINGLE,85268.67,159010.33,12,308656.11,NO
21,37,SINGLE,92314.96,249547.14,24,342339.27,YES
22,29,MARRIED,120876.13,308618.37,12,472668.98,NO
23,24,SINGLE,86294.13,258321.78,24,380347.56,YES
24,32,MARRIED,216748.68,634609.61,24,915640.13,YES
25,44,SINGLE,46389.75,194770.91,12,385288.86,NO
26,28,MARRIED,132323.76,518999.12,24,776210.07,YES
27,41,MARRIED,101799.27,242974.82,12,519801.54,NO
28,42,SINGLE,72708.46,277473.87,4,351375.45,YES
29,30,MARRIED,170494.76,507883.95,12,738913.49,NO
30,35,SINGLE,61742.37,178309.62,4,204693.76,YES
31,43,MARRIED,92851.73,295768.37,4,315403.24,YES
32,27,SINGLE,67039.07,268602.19,12,436736.67,NO
33,23,SINGLE,71105.79,188100.06,12,320195.33,NO
34,39,SINGLE,58421.01,249958.88,12,427480.93,NO
35,40,SINGLE,98472.26,320908.7,12,545924.99,NO
36,37,MARRIED,112622.95,337873.51,12,561803.09,NO
37,37,SINGLE,87125.65,275337.14,4,278656.59,YES
38,33,SINGLE,78298.5,260700.34,12,517794.52,NO
39,33,SINGLE,31248.32,200414.73,12,383638.01,NO
40,35,MARRIED,99648.61,261283.23,24,510798.86,YES
41,26,MARRIED,136035.76,292050.94,4,339563.87,YES
